role_id,role_name,question_id,round,score,score_reason
R1,Undergraduate,Q1,pre,2,"Gets that drought involves humans and nature, but does not mention definitions or analysis framework."
R1,Undergraduate,Q2,pre,1,"Confuses drought with water shortage and mostly says both mean not enough water."
R1,Undergraduate,Q3,pre,1,"Recognizes climate vs human drought but misses human-modified drought."
R1,Undergraduate,Q4,pre,1,"Says normal means average rainfall, missing human-influenced thresholds."
R1,Undergraduate,Q5,pre,2,"Understands rainfall is not enough, but gives limited hydrological reasoning."
R1,Undergraduate,Q6,pre,1,"Suggests collecting rainfall and groundwater data but misses comparison to naturalized or undisturbed references."
R1,Undergraduate,Q7,pre,2,"Understands abstraction can worsen drought and reservoirs can help, but lacks input-output-storage framing."
R1,Undergraduate,Q8,pre,1,"Mostly says severe drought causes severe impacts, missing vulnerability."
R1,Undergraduate,Q9,pre,1,"Gives a vague loop idea but not management response changing future drought."
R1,Undergraduate,Q10,pre,1,"Says framework is useful but hard, with little specificity."
R1,Undergraduate,Q1,post,3,"Adds Anthropocene, natural-human interaction, and need to change definitions."
R1,Undergraduate,Q2,post,3,"Correctly separates below-normal water from demand exceeding supply, but limited timescale nuance."
R1,Undergraduate,Q3,post,3,"Explains all three drought categories with minor simplification."
R1,Undergraduate,Q4,post,3,"Explains threshold idea and human-influenced normal, but not seasonal/long-term complexity."
R1,Undergraduate,Q5,post,3,"Explains why hydrological water availability and management matter."
R1,Undergraduate,Q6,post,2,"Mentions comparing observed drought to natural or meteorological reference, but misses metadata and satellite details."
R1,Undergraduate,Q7,post,3,"Uses input-output-storage logic with examples."
R1,Undergraduate,Q8,post,2,"Recognizes vulnerability but gives limited integration with physical characteristics."
R1,Undergraduate,Q9,post,2,"Understands human responses can worsen or improve future drought, but lacks feedback-loop detail."
R1,Undergraduate,Q10,post,2,"Identifies holistic strength and difficulty, but lacks expert-level limitations."
R2,Master,Q1,pre,3,"Covers Anthropocene, human-natural drought processes, and revised definitions, but less detail on analysis approaches."
R2,Master,Q2,pre,2,"Separates drought from scarcity, but treats water shortage imprecisely."
R2,Master,Q3,pre,3,"Defines all three categories, with adequate attribution logic."
R2,Master,Q4,pre,2,"Recognizes baselines and thresholds, but misses natural vs disturbed threshold implications."
R2,Master,Q5,pre,3,"Explains hydrological perspective and management relevance."
R2,Master,Q6,pre,2,"Mentions observed vs naturalized comparisons but misses disturbed catchments, metadata, and satellites."
R2,Master,Q7,pre,2,"Provides examples but lacks timescale and storage/input/output framing."
R2,Master,Q8,pre,2,"Mentions vulnerability but not data and physical-social linkage needs."
R2,Master,Q9,pre,2,"Recognizes feedbacks but underdevelops why they matter for mitigation."
R2,Master,Q10,pre,2,"Gives a reasonable but generic strength/limitation answer."
R2,Master,Q1,post,4,"Complete main argument with definitions, multi-driver analysis, and research gaps."
R2,Master,Q2,post,3,"Clear distinction between drought, scarcity, shortage, and impacts with minor timescale gaps."
R2,Master,Q3,post,4,"Complete classification and relevance to attribution."
R2,Master,Q4,post,3,"Explains natural and human-influenced thresholds and why event identification changes."
R2,Master,Q5,post,4,"Strong hydrological-perspective answer connecting water use, management, and direct human influence."
R2,Master,Q6,post,3,"Covers comparison logic and some data needs, but less complete on metadata and experimental catchments."
R2,Master,Q7,post,3,"Good explanation of enhancement/alleviation through storage, inflows, and outflows."
R2,Master,Q8,post,3,"Connects physical characteristics to vulnerability and impact data."
R2,Master,Q9,post,3,"Explains response feedbacks and management implications."
R2,Master,Q10,post,3,"Identifies conceptual strength and operational limitations clearly."
R3,PhD,Q1,pre,4,"Complete article-level argument."
R3,PhD,Q2,pre,3,"Clear distinction, minor omission of impacts not being drought."
R3,PhD,Q3,pre,4,"Complete classification and attribution purpose."
R3,PhD,Q4,pre,3,"Understands thresholds and human-influenced normal, less on seasonal variability."
R3,PhD,Q5,pre,4,"Complete critique of meteorological-only view."
